<TICKER>;<DATE>;<OPEN>;<CLOSE>
USD000000TOD;20210901;73.2175000;72.9750000
USD000000TOD;20210902;73.0200000;72.7500000
USD000000TOD;20210903;72.9000000;72.7100000
USD000000TOD;20210907;72.9900000;73.2875000
USD000000TOD;20210908;73.2875000;73.4350000
USD000000TOD;20210909;73.2675000;72.9175000
USD000000TOD;20210910;72.8275000;72.9600000
USD000000TOD;20210913;73.1300000;72.7750000
USD000000TOD;20210914;72.6975000;72.8675000
USD000000TOD;20210915;72.8650000;72.5375000
USD000000TOD;20210916;72.3000000;72.4700000
USD000000TOD;20210917;72.5025000;72.7250000
USD000000TOD;20210920;72.8525000;73.4600000
USD000000TOD;20210921;73.4600000;73.2175000
USD000000TOD;20210922;72.9050000;72.7325000
USD000000TOD;20210923;72.9725000;72.7675000
USD000000TOD;20210924;72.7000000;72.8400000
USD000000TOD;20210927;72.6050000;72.5325000
USD000000TOD;20210928;72.5350000;72.7525000
USD000000TOD;20210929;72.7525000;72.8200000
USD000000TOD;20210930;72.7975000;72.7200000
USD000000TOD;20211001;72.7925000;72.8100000
USD000000TOD;20211004;72.6025000;72.5175000
USD000000TOD;20211005;72.5375000;72.4750000
USD000000TOD;20211006;72.3875000;72.4475000
USD000000TOD;20211007;72.3775000;71.7825000
USD000000TOD;20211008;71.7825000;71.6650000
USD000000TOD;20211012;71.8650000;71.9250000
USD000000TOD;20211013;71.7925000;71.9250000
USD000000TOD;20211014;71.9700000;71.4750000
USD000000TOD;20211015;71.3025000;71.0300000
USD000000TOD;20211018;70.8650000;71.2750000
USD000000TOD;20211019;71.1025000;70.9500000
USD000000TOD;20211020;70.8825000;70.8600000
USD000000TOD;20211021;70.8600000;71.0700000
USD000000TOD;20211022;71.0775000;70.3200000
USD000000TOD;20211025;70.2825000;69.9675000
USD000000TOD;20211026;69.7550000;69.5900000
USD000000TOD;20211027;69.4400000;70.5675000
USD000000TOD;20211028;70.7400000;70.1500000
USD000000TOD;20211029;70.2175000;70.7950000
USD000000TOD;20211101;71.4950000;71.3200000
USD000000TOD;20211102;71.5350000;71.6900000
USD000000TOD;20211103;71.6375000;71.9975000
USD000000TOD;20211108;71.2550000;71.3250000
USD000000TOD;20211109;71.3250000;70.6500000
USD000000TOD;20211110;70.8500000;70.6050000
USD000000TOD;20211112;71.4600000;72.4350000
USD000000TOD;20211115;72.6100000;72.5200000
USD000000TOD;20211116;72.4325000;73.3750000
USD000000TOD;20211117;73.2175000;72.4975000
USD000000TOD;20211118;72.6350000;73.0625000
USD000000TOD;20211119;73.0625000;73.3175000
USD000000TOD;20211122;73.4475000;74.8975000
USD000000TOD;20211123;74.8200000;74.7900000
USD000000TOD;20211124;74.2700000;74.8900000
USD000000TOD;20211126;74.9275000;75.4300000
